timestamp,Q,PQT1,PQT2
2020-05-12 00:00:00,171.1,169.28001,171.84483
2020-05-12 00:30:00,171.44,169.93542,169.09102
2020-05-12 01:00:00,171.47,170.19028,171.43144
2020-05-12 07:00:00,171.21,166.16989,171.55104
2020-05-12 08:30:00,158.91,171.09497,176.63937
2020-05-12 13:00:00,150.79,159.96504,169.25887
2020-05-12 13:00:00,174.16,170.19357,169.13927
2020-05-12 13:30:00,161.01,169.90906,167.6139
2020-05-12 14:30:00,173.47,166.75877,171.4711
2020-05-12 15:00:00,175.6,172.67911,171.10127
2020-05-12 15:30:00,177,170.28734,175.25278
2020-05-12 16:00:00,175.48,170.6643,172.15764
2020-05-12 18:30:00,170.39,173.55191,172.05702
2020-05-12 19:00:00,177.72,175.48772,178.13559
2020-05-12 19:00:00,175.33,177.09906,177.33963
2020-05-12 19:30:00,177.05,178.50725,175.246
2020-05-12 20:30:00,178.74,176.6275,177.85399
2020-05-12 21:00:00,178.98,176.33217,173.33806
2020-05-12 21:30:00,179.6,176.6952,173.3318
2020-05-12 22:00:00,186.84,181.90724,173.69186
2020-05-12 22:00:00,181.9,178.98412,177.2037
2020-05-12 22:30:00,186.08,177.11014,175.15526
2020-05-12 23:30:00,179.89,175.65173,173.35458
2020-05-13 00:00:00,173.96,169.8422,171.9905
2020-05-13 00:30:00,170.85,165.13774,169.27118
2020-05-13 01:00:00,168.77,165.59767,170.96188
2020-05-13 01:30:00,168.84,163.97426,171.75002
2020-05-13 07:00:00,158.16,162.7624,169.84456
2020-05-13 08:30:00,162.87,166.02498,169.9842
2020-05-13 09:00:00,164.81,163.5001,175.86119
2020-05-13 12:30:00,154.9,157.69725,171.02367
2020-05-13 13:00:00,166.24,165.9374,173.46086
2020-05-13 13:00:00,155.88,161.60315,162.21063
2020-05-13 13:30:00,159.01,159.98627,165.43834
2020-05-13 14:30:00,165.1,164.45006,171.75621
2020-05-13 15:00:00,166.18,164.56447,169.25171
2020-05-13 15:30:00,165.81,162.76074,169.05493
