,Act_T2,Pred_T2
0,175.0,174.93863
1,174.42,172.30655
2,156.09,170.64835
3,162.03,178.59004
4,161.95,164.48445
5,161.97,161.71652
6,170.15,169.16826
7,170.18,168.55504
8,170.28,169.95638
9,171.01,170.82407
10,173.34,169.7196
11,162.47,164.6532
12,164.57,170.9816
13,175.66,183.27382
14,176.51,166.2939
15,179.62,172.7511
16,166.23,174.57736
17,168.4,169.91818
18,170.76,172.2291
19,170.53,169.04832
20,165.63,169.60172
21,168.05,177.07417
22,174.73,177.83507
23,175.49,172.01117
24,172.17,169.99907
25,167.07,173.38005
26,165.98,177.59203
27,163.25,174.76204
28,164.63,178.95967
29,162.51,175.81868
30,160.19,170.92911
31,156.62,171.15417
32,154.89,168.6898
33,168.7,169.56487
34,145.59,168.26352
35,157.12,160.9983
36,172.26,171.89227
37,174.32,166.3503
38,177.38,172.47533
39,175.48,175.88235
40,176.55,174.25018
41,173.89,173.3194
42,176.36,176.61508
43,174.15,175.87192
44,175.95,174.27586
45,176.36,173.7005
46,177.1,173.84435
47,176.89,173.52315
48,181.42,172.84749
49,182.51,176.04779
50,181.36,178.1512
51,178.11,177.18408
52,175.28,176.23213
53,164.05,176.50797
54,161.54,182.00894
55,162.76,170.72765
56,158.83,170.80693
57,147.87,160.80908
58,167.57,163.38803
59,172.13,156.50618
60,173.99,165.45409
61,171.68,171.86334
62,173.46,170.05264
63,171.92,171.44647
64,174.36,172.71002
65,181.05,172.40706
66,180.04,175.16403
67,176.75,174.592
68,181.11,172.13675
69,181.18,173.49417
70,176.44,175.57579
71,176.32,171.9872
72,174.98,172.30383
73,180.1,172.19502
74,181.14,173.71391
75,180.14,176.52214
76,178.82,174.10991
77,173.52,171.83147
78,170.3,169.92355
79,144.88,169.27364
80,156.45,180.37103
81,176.01,178.87056
82,179.45,162.97116
83,181.34,172.3164
84,175.13,174.3748
85,178.98,169.37038
86,177.89,174.43304
87,174.11,173.50742
88,179.15,172.80292
89,178.77,174.48499
90,176.63,175.24063
91,172.81,172.35217
92,176.42,170.47334
93,171.84,171.11646
94,169.73,171.12999
95,169.15,170.75743
96,174.12,171.80307
97,171.68,171.4206
98,172.82,173.40689
99,173.6,172.96495
100,171.1,171.84483
101,171.44,169.09102
102,171.47,171.43144
103,171.21,171.55104
104,158.91,176.63937
105,150.79,169.25887
106,174.16,169.13927
107,161.01,167.6139
108,173.47,171.4711
109,175.6,171.10127
110,177.0,175.25278
111,175.48,172.15764
112,170.39,172.05702
113,177.72,178.13559
114,175.33,177.33963
115,177.05,175.246
116,178.74,177.85399
117,178.98,173.33806
118,179.6,173.3318
119,186.84,173.69186
120,181.9,177.2037
121,186.08,175.15526
122,179.89,173.35458
123,173.96,171.9905
124,170.85,169.27118
125,168.77,170.96188
126,168.84,171.75002
127,158.16,169.84456
128,162.87,169.9842
129,164.81,175.86119
130,154.9,171.02367
131,166.24,173.46086
132,155.88,162.21063
133,159.01,165.43834
134,165.1,171.75621
135,166.18,169.25171
136,165.81,169.05493
137,162.1,167.63907
138,157.67,167.89008
139,167.13,177.93228
140,161.52,176.0118
141,164.33,169.98494
142,167.75,171.6173
143,167.36,169.03923
144,168.37,167.97115
145,171.72,165.76927
146,176.69,165.36934
147,171.09,166.98608
148,175.23,165.63553
149,149.99,168.2861
150,166.02,157.89558
151,178.29,158.89899
152,153.28,175.00995
153,164.9,165.08058
154,181.95,177.0491
155,184.36,175.29114
156,185.47,179.18396
157,182.57,177.76782
158,185.19,176.10338
159,183.2,175.48686
160,187.17,177.6284
161,195.9,178.44986
162,190.55,190.4385
163,191.67,176.04851
164,190.06,176.34587
165,192.03,177.9936
166,191.85,176.89111
167,192.35,175.0306
168,192.45,175.15393
169,196.48,174.56592
170,198.33,175.40117
171,197.47,177.2281
172,195.31,174.64377
173,171.2,173.44168
174,191.82,171.7735
175,181.95,176.95679
176,194.46,183.75703
177,196.32,179.89899
178,196.5,183.80247
179,194.78,175.93591
180,193.28,157.05713
181,193.25,159.85901
182,197.95,172.58122
183,188.26,185.22684
184,189.67,189.45065
185,189.81,174.15828
186,190.49,178.41444
187,189.85,176.23431
188,189.27,171.10239
189,188.76,169.99475
190,191.36,168.1069
191,194.57,170.2547
192,192.74,169.51479
193,190.56,164.05853
194,184.52,162.29622
195,179.03,155.70615
196,174.71,157.00424
197,174.74,160.02588
