,Act_T2,Pred_T2
198,167.54,159.37581
199,142.28,159.08296
200,153.85,158.18416
201,172.86,183.80986
202,176.16,161.22655
203,179.05,167.63205
204,179.5,166.23993
205,176.25,163.97583
206,176.96,165.07643
207,179.11,165.81927
208,180.77,165.3194
209,179.4,166.82529
210,179.68,168.92148
211,177.73,168.10336
212,178.47,167.02197
213,178.82,168.4995
214,179.15,169.97775
215,177.98,166.90753
216,175.74,164.85243
217,182.26,167.56349
218,178.64,165.695
219,164.73,163.41202
220,144.74,161.70053
221,151.29,169.90923
222,169.45,188.28398
223,169.62,154.41394
224,172.59,168.03223
225,173.59,163.73154
226,172.77,162.67632
227,173.57,165.05067
228,176.44,165.39622
229,180.29,165.0597
230,176.1,167.62457
231,175.41,166.92549
232,176.43,163.49527
233,176.76,166.47267
234,175.56,166.91412
235,176.28,162.22942
236,175.98,163.2117
237,179.5,162.76799
238,181.1,165.92674
239,180.96,165.52333
240,177.57,163.38899
241,153.5,162.32971
242,161.61,161.8832
243,167.3,178.28716
244,168.04,165.04814
245,172.01,168.14969
246,161.72,163.34918
247,159.18,164.91286
248,167.35,177.60774
249,161.08,170.53722
250,169.46,163.31013
251,174.55,160.43909
252,177.41,168.70462
253,182.93,169.85678
254,181.77,169.65102
255,174.11,163.39456
256,176.52,161.43466
257,182.23,171.50093
258,180.08,170.16383
259,180.65,174.99182
260,181.96,172.40753
261,182.03,167.88655
262,183.25,167.4129
263,187.32,167.77425
264,189.13,166.2148
265,188.58,168.15663
266,190.28,165.39638
267,173.07,167.26701
268,188.37,164.72844
269,168.32,170.7953
270,179.09,174.85017
271,191.17,178.41481
272,195.36,183.67616
273,197.46,188.4514
274,191.11,188.6288
275,193.52,189.87134
276,194.85,191.39703
277,195.33,186.36229
278,197.46,189.63258
279,194.15,188.97395
280,193.73,181.46294
281,191.31,180.53484
282,193.34,167.97333
283,193.03,165.34326
284,192.54,177.66838
285,193.55,182.75764
286,187.72,183.48666
287,182.84,163.18372
288,181.04,163.3944
289,163.3,164.2706
290,169.91,161.4927
291,171.08,170.10278
292,179.45,168.97044
293,179.06,170.75232
294,159.07,172.32677
295,171.17,166.2773
296,178.03,165.86101
297,174.43,178.92322
298,180.2,175.19788
299,182.69,175.59839
300,184.49,179.87576
301,191.55,180.19229
302,192.77,185.31001
303,192.3,184.04802
304,192.91,183.92319
305,187.38,174.71022
306,183.19,165.4162
307,179.45,164.89134
308,155.77,167.61066
309,162.93,163.82211
310,186.52,166.5561
311,173.93,177.63675
312,190.47,176.65773
313,193.25,176.45598
314,194.08,187.19705
315,193.03,181.17801
316,192.21,175.65358
317,183.64,176.65288
318,180.18,168.78893
319,180.73,169.8108
320,179.65,165.71236
321,180.14,168.02707
322,180.47,167.51279
323,180.09,166.36452
324,180.2,170.28984
325,183.7,168.20633
326,182.45,169.64679
327,154.03,167.49844
328,163.86,164.70029
329,168.5,168.29863
330,172.22,166.44997
331,183.81,161.07278
332,183.58,175.01025
333,183.73,173.2803
334,182.15,170.08595
335,186.35,165.13728
336,174.33,164.30988
337,174.81,167.70837
338,188.17,176.99358
339,191.31,174.066
340,191.89,178.91661
341,180.72,165.99605
342,175.54,173.34908
343,175.85,183.3762
344,176.97,165.55086
345,176.54,164.78705
346,175.75,164.29521
347,176.88,165.46822
348,184.64,163.32751
349,184.59,166.56052
350,184.64,166.9282
351,157.31,166.54646
352,183.37,163.57043
353,164.65,166.63464
354,186.06,174.21129
355,190.56,171.63954
356,187.19,178.58478
357,187.93,167.00093
358,185.42,168.08328
359,186.64,172.02005
360,184.88,175.89816
361,187.22,174.02554
362,188.73,171.24164
363,188.2,168.95541
364,187.86,166.41736
365,184.94,165.71236
366,191.61,163.10341
367,168.71,168.09729
368,172.91,166.9565
369,182.35,177.3825
370,180.44,175.40105
371,181.63,170.09348
372,173.46,167.58168
373,167.31,165.38707
374,176.07,170.40044
375,179.04,169.39864
376,181.29,171.22534
377,179.59,171.59537
378,178.2,165.94482
379,179.38,165.0315
380,177.85,166.7012
381,181.7,166.25922
382,180.59,167.69313
383,178.01,168.94536
384,180.97,162.79988
385,181.86,166.11545
386,176.02,167.46649
387,176.87,160.06749
388,176.85,164.58328
389,186.22,163.04236
390,188.39,173.73187
391,186.67,179.45116
392,188.39,179.26448
393,156.88,178.66808
394,173.51,169.76215
395,164.53,178.73611
396,173.64,163.05794
