,Act_T1,Pred_T1
290,163.3,162.26619
291,169.91,166.11786
292,171.08,169.3854
293,179.45,176.21136
294,179.06,176.87326
295,159.07,158.08406
296,171.17,168.96608
297,178.03,174.81291
298,174.43,176.41154
299,180.2,177.66078
300,182.69,180.37563
301,184.49,182.29956
302,191.55,188.70746
303,192.77,190.48709
304,192.3,189.90224
305,192.91,187.58066
306,187.38,179.93718
307,183.19,174.28836
308,179.45,173.96103
309,155.77,157.03526
310,162.93,159.07368
311,186.52,179.36469
312,173.93,180.22212
313,190.47,182.48204
314,193.25,189.87422
315,194.08,189.07507
316,193.03,187.59564
317,192.21,187.16861
318,183.64,177.86485
319,180.18,174.35132
320,180.73,174.18477
321,179.65,175.66737
322,180.14,174.30907
323,180.47,174.54492
324,180.09,176.36102
325,180.2,174.40523
326,183.7,178.04382
327,182.45,176.97943
328,154.03,155.43684
329,163.86,159.9283
330,168.5,166.1388
331,172.22,165.97897
332,183.81,179.96262
333,183.58,182.6419
334,183.73,176.53125
335,182.15,172.69977
336,186.35,176.29022
337,174.33,173.39091
338,174.81,171.71825
339,188.17,181.60577
340,191.31,186.72269
341,191.89,180.73499
342,180.72,175.80563
343,175.54,179.17593
344,175.85,171.48816
345,176.97,171.3814
346,176.54,169.69415
347,175.75,169.62967
348,176.88,168.6786
349,184.64,176.13918
350,184.59,177.09366
351,184.64,177.12155
352,157.31,154.16245
353,183.37,178.27316
354,164.65,175.00967
355,186.06,176.10022
356,190.56,185.15846
357,187.19,181.66412
358,187.93,178.86166
359,185.42,182.18326
360,186.64,183.86815
361,184.88,182.17772
362,187.22,180.69824
363,188.73,179.65143
364,188.2,178.43997
365,187.86,176.95224
366,184.94,174.84105
367,191.61,181.09618
368,168.71,169.18246
369,172.91,168.99643
370,182.35,178.70366
371,180.44,179.41348
372,181.63,174.95885
373,173.46,172.75108
374,167.31,163.88458
375,176.07,174.62717
376,179.04,176.27937
377,181.29,177.30386
378,179.59,174.6905
379,178.2,171.22282
380,179.38,172.8194
381,177.85,172.51483
382,181.7,175.05049
383,180.59,177.20131
384,178.01,172.71288
385,180.97,173.79538
386,181.86,176.48099
387,176.02,169.79533
388,176.87,169.22205
389,176.85,172.51735
390,186.22,182.33421
391,188.39,184.84256
392,186.67,186.25237
393,188.39,186.41783
394,156.88,156.1451
395,173.51,168.67888
396,164.53,168.13948
