timestamp,Q
2020-05-14 18:00:00,195.9
2020-05-14 18:30:00,190.55
2020-05-14 19:00:00,191.67
2020-05-14 19:00:00,190.06
2020-05-14 19:30:00,192.03
2020-05-14 20:30:00,191.85
2020-05-14 21:00:00,192.35
2020-05-14 21:30:00,192.45
2020-05-14 22:00:00,196.48
2020-05-14 22:00:00,198.33
2020-05-14 22:30:00,197.47
2020-05-14 23:30:00,195.31
2020-05-15 13:00:00,171.2
2020-05-15 13:00:00,191.82
2020-05-15 13:30:00,181.95
2020-05-15 14:30:00,194.46
2020-05-15 15:00:00,196.32
2020-05-15 15:30:00,196.5
2020-05-15 16:00:00,194.78
2020-05-15 16:00:00,193.28
2020-05-15 16:30:00,193.25
2020-05-15 18:00:00,197.95
2020-05-15 18:30:00,188.26
2020-05-15 19:00:00,189.67
2020-05-15 19:00:00,189.81
2020-05-15 19:30:00,190.49
2020-05-15 20:30:00,189.85
2020-05-15 21:00:00,189.27
2020-05-15 21:30:00,188.76
2020-05-15 22:00:00,191.36
2020-05-15 22:00:00,194.57
2020-05-15 22:30:00,192.74
2020-05-15 23:30:00,190.56
2020-05-16 00:00:00,184.52
2020-05-16 00:30:00,179.03
2020-05-16 01:00:00,174.71
2020-05-16 01:30:00,174.74
2020-05-16 13:00:00,167.54
2020-05-16 13:00:00,142.28
2020-05-16 13:30:00,153.85
2020-05-16 14:30:00,172.86
2020-05-16 15:00:00,176.16
2020-05-16 15:30:00,179.05
2020-05-16 16:00:00,179.5
2020-05-16 16:00:00,176.25
2020-05-16 16:30:00,176.96
2020-05-16 17:30:00,179.11
2020-05-16 18:00:00,180.77
2020-05-16 18:30:00,179.4
2020-05-16 19:00:00,179.68
2020-05-16 19:00:00,177.73
2020-05-16 19:30:00,178.47
2020-05-16 20:30:00,178.82
2020-05-16 21:00:00,179.15
2020-05-16 21:30:00,177.98
2020-05-16 22:00:00,175.74
2020-05-16 22:00:00,182.26
2020-05-16 22:30:00,178.64
2020-05-17 13:00:00,164.73
2020-05-17 13:00:00,144.74
2020-05-17 13:30:00,151.29
2020-05-17 14:30:00,169.45
2020-05-17 15:00:00,169.62
2020-05-17 15:30:00,172.59
2020-05-17 16:00:00,173.59
2020-05-17 16:00:00,172.77
2020-05-17 16:30:00,173.57
2020-05-17 17:30:00,176.44
2020-05-17 18:00:00,180.29
2020-05-17 18:30:00,176.1
2020-05-17 19:00:00,175.41
2020-05-17 19:00:00,176.43
2020-05-17 19:30:00,176.76
2020-05-17 20:30:00,175.56
2020-05-17 21:00:00,176.28
2020-05-17 21:30:00,175.98
2020-05-17 22:00:00,179.5
2020-05-17 22:00:00,181.1
2020-05-17 22:30:00,180.96
2020-05-17 23:30:00,177.57
2020-05-18 07:00:00,153.5
2020-05-18 08:30:00,161.61
2020-05-18 09:00:00,167.3
2020-05-18 09:30:00,168.04
2020-05-18 10:00:00,172.01
2020-05-18 12:30:00,161.72
2020-05-18 13:00:00,159.18
2020-05-18 13:00:00,167.35
2020-05-18 13:30:00,161.08
2020-05-18 14:30:00,169.46
2020-05-18 15:00:00,174.55
2020-05-18 15:30:00,177.41
2020-05-18 16:00:00,182.93
2020-05-18 16:30:00,181.77
2020-05-18 18:00:00,174.11
2020-05-18 18:30:00,176.52
2020-05-18 19:00:00,182.23
2020-05-18 19:00:00,180.08
2020-05-18 19:30:00,180.65
2020-05-18 20:30:00,181.96
2020-05-18 21:00:00,182.03
2020-05-18 21:30:00,183.25
2020-05-18 22:00:00,187.32
2020-05-18 22:00:00,189.13
2020-05-18 22:30:00,188.58
2020-05-18 23:30:00,190.28
2020-05-19 08:30:00,173.07
2020-05-19 13:00:00,188.37
